o_lat,o_lon,d_lat,d_lon,dest_name,cat,distance_m,duration_s,static_duration_s,status_code,condition,duration_min,static_duration_min,origin_name
19.287,-99.655,19.3223738,-99.6794476,Centro De Educacion Para La Atencion De Jovenes Y Adultos Libertadores De America,school,8173,1337.0,1337.0,0,ROUTE_EXISTS,22.283333333333335,22.283333333333335,O1_Conjunto
19.287,-99.655,19.2731132,-99.611461,Centro De Formacion Deportiva Hc,school,6946,931.0,931.0,0,ROUTE_EXISTS,15.516666666666667,15.516666666666667,O1_Conjunto
19.287,-99.655,19.2729276,-99.6111827,Colegio Forger,school,6825,905.0,905.0,0,ROUTE_EXISTS,15.083333333333334,15.083333333333334,O1_Conjunto
19.287,-99.655,19.3170908,-99.6451535,Flecha Roja,bus,5728,767.0,767.0,0,ROUTE_EXISTS,12.783333333333333,12.783333333333333,O1_Conjunto
19.287,-99.655,19.2431799,-99.6424048,Escuela Secundaria Lic Jun Fernandez Albarran,school,5774,1102.0,1102.0,0,ROUTE_EXISTS,18.366666666666667,18.366666666666667,O1_Conjunto
19.287,-99.655,19.2649335,-99.6159733,Escuela Primaria Federalizada Gregorio Torres Quintero,school,5436,956.0,956.0,0,ROUTE_EXISTS,15.933333333333334,15.933333333333334,O1_Conjunto
19.287,-99.655,19.2830815,-99.609274,Bussiness Kids,school,5793,710.0,710.0,0,ROUTE_EXISTS,11.833333333333334,11.833333333333334,O1_Conjunto
19.287,-99.655,19.3259179,-99.6689518,Escuela De Futbol Chivas Bufalos,school,7522,1153.0,1153.0,0,ROUTE_EXISTS,19.216666666666665,19.216666666666665,O1_Conjunto
19.287,-99.655,19.2624125,-99.6944858,Escuela Telesecundaria Federal Heriberto Enríquez,school,8818,1183.0,1183.0,0,ROUTE_EXISTS,19.716666666666665,19.716666666666665,O1_Conjunto
19.287,-99.655,19.2587264,-99.6945655,Instituto Cultural Y Deportivo Simón Bolívar,school,8155,1069.0,1069.0,0,ROUTE_EXISTS,17.816666666666666,17.816666666666666,O1_Conjunto
19.287,-99.655,19.327873,-99.6341555,Escuela Estatal Primaria Profesor Manuel Hinojosa Giles Turno Vespertino Con Cct 15epr1445x En La Localidad De San Cristobal Huichochitlan,school,7130,1142.0,1142.0,0,ROUTE_EXISTS,19.033333333333335,19.033333333333335,O1_Conjunto
19.287,-99.655,19.2492041,-99.6637129,Ceaja Emiliano Zapata Unidad De Educacion Para La Atencion De Jóvenes Y Adultos,school,5354,1022.0,1022.0,0,ROUTE_EXISTS,17.033333333333335,17.033333333333335,O1_Conjunto
19.287,-99.655,19.2468003,-99.6770834,Telesecundaria 499 Jose María Pinosuarez,school,6831,1224.0,1224.0,0,ROUTE_EXISTS,20.4,20.4,O1_Conjunto
19.287,-99.655,19.3242592,-99.6595971,Escuela Telesecundaria #238 Angel Maria Garibay Kintanade Santiago Miltepc,school,8202,1036.0,1036.0,0,ROUTE_EXISTS,17.266666666666666,17.266666666666666,O1_Conjunto
19.287,-99.655,19.2986307,-99.692219,Escuela para adultos,school,5302,1062.0,1062.0,0,ROUTE_EXISTS,17.7,17.7,O1_Conjunto
19.287,-99.655,19.2615593,-99.6203469,Yoga Studio,school,5090,1014.0,1014.0,0,ROUTE_EXISTS,16.9,16.9,O1_Conjunto
19.287,-99.655,19.2880677,-99.70505,Escuela de Natacion Vida Aquatic,school,6535,1114.0,1114.0,0,ROUTE_EXISTS,18.566666666666666,18.566666666666666,O1_Conjunto
19.287,-99.655,19.2489555,-99.6322377,Escuela Secundaria Oficial Numero 0417 Sor Juana Ines De La Cruz Turno Vespertino,school,5616,1134.0,1134.0,0,ROUTE_EXISTS,18.9,18.9,O1_Conjunto
19.287,-99.655,19.2614803,-99.6236252,Superacion Personal Trinus,school,5042,997.0,997.0,0,ROUTE_EXISTS,16.616666666666667,16.616666666666667,O1_Conjunto
19.287,-99.655,19.310092,-99.6228911,Centro educativo medio superior Cetem,school,6284,992.0,992.0,0,ROUTE_EXISTS,16.533333333333335,16.533333333333335,O1_Conjunto
19.287,-99.655,19.3247106,-99.6690765,Colegio De Educacion Profesional Tecnica Del Estado De Mexico Plantel Toluca Cct 15dpt0013r,school,7387,1133.0,1133.0,0,ROUTE_EXISTS,18.883333333333333,18.883333333333333,O1_Conjunto
19.287,-99.655,19.2531821,-99.6394618,Colegio Elsembrador,school,4770,978.0,978.0,0,ROUTE_EXISTS,16.3,16.3,O1_Conjunto
19.287,-99.655,19.2630998,-99.6215732,Bikram Yoga Metepec,school,4760,926.0,926.0,0,ROUTE_EXISTS,15.433333333333334,15.433333333333334,O1_Conjunto
