origin_index,origin_name,o_lat,o_lon,dest_name,d_lat,d_lon,cat,cat_key,cat_val,km_straight
0,O1_Conjunto,19.287,-99.655,Farmacias Toluca,19.2911449,-99.6677164,pharma,amenity,pharmacy,1.4119629927662294
0,O1_Conjunto,19.287,-99.655,Farmacias del Ahorro,19.2936035,-99.6418083,pharma,amenity,pharmacy,1.5671603513446275
0,O1_Conjunto,19.287,-99.655,Farmacia Benavides,19.2892654,-99.670149,pharma,amenity,pharmacy,1.6097715740055425
0,O1_Conjunto,19.287,-99.655,Sucursal Pstoluca2,19.278818,-99.6417421,pharma,amenity,pharmacy,1.6625350375766152
0,O1_Conjunto,19.287,-99.655,Farmacia Veterinaria La Granja,19.2747022,-99.6438372,pharma,amenity,pharmacy,1.8007324000924552
0,O1_Conjunto,19.287,-99.655,Farmacias Similares,19.2875006,-99.6725824,pharma,amenity,pharmacy,1.846183496833837
0,O1_Conjunto,19.287,-99.655,Farmacias del Ahorro,19.279959,-99.6710405,pharma,amenity,pharmacy,1.8566970956684186
0,O1_Conjunto,19.287,-99.655,Farmaplus,19.3034364,-99.6499771,pharma,amenity,pharmacy,1.90214845012061
0,O1_Conjunto,19.287,-99.655,Farmacias del Ahorro,19.2700728,-99.6603456,pharma,amenity,pharmacy,1.964064541662064
0,O1_Conjunto,19.287,-99.655,Farmacia Guadalajara,19.2820708,-99.6733801,pharma,amenity,pharmacy,2.005451279259128
0,O1_Conjunto,19.287,-99.655,Farmacias del Ahorro,19.2750355,-99.6698966,pharma,amenity,pharmacy,2.052932235744018
0,O1_Conjunto,19.287,-99.655,Comercializadora De Materiales Y Servicios Para Laboratorio,19.2778825,-99.6378221,pharma,amenity,pharmacy,2.0684377100161253
0,O1_Conjunto,19.287,-99.655,Farmacia Homeopatica Homeonam,19.2888483,-99.6748283,pharma,amenity,pharmacy,2.091175761793023
0,O1_Conjunto,19.287,-99.655,Lora,19.306056,-99.6525059,pharma,amenity,pharmacy,2.1350363411480173
0,O1_Conjunto,19.287,-99.655,Farmacia Cruz,19.306452,-99.6539414,pharma,amenity,pharmacy,2.165815036839085
0,O1_Conjunto,19.287,-99.655,Farmamigo Toluca 1 F205,19.2678737,-99.6503844,pharma,amenity,pharmacy,2.1812270945922094
0,O1_Conjunto,19.287,-99.655,Farmaco Darovi del Carmen,19.2892049,-99.6787301,pharma,amenity,pharmacy,2.502595723801417
0,O1_Conjunto,19.287,-99.655,Farmacias Similares,19.2875803,-99.6830917,pharma,amenity,pharmacy,2.949043070518331
0,O1_Conjunto,19.287,-99.655,Farmacias Similares,19.2882608,-99.6851788,pharma,amenity,pharmacy,3.1704811474006926
0,O1_Conjunto,19.287,-99.655,Farmacias del Ahorro,19.3023823,-99.6277854,pharma,amenity,pharmacy,3.3291428187482066
0,O1_Conjunto,19.287,-99.655,Medical Health,19.3139708,-99.63908670000001,pharma,amenity,pharmacy,3.4326518602257976
0,O1_Conjunto,19.287,-99.655,Farmacias del Ahorro,19.3139065,-99.6386988,pharma,amenity,pharmacy,3.446431744728245
0,O1_Conjunto,19.287,-99.655,ISSSTE,19.3098067,-99.6325157,pharma,amenity,pharmacy,3.4639898790623063
0,O1_Conjunto,19.287,-99.655,Farmacias del Ahorro,19.2885996,-99.6892495,pharma,amenity,pharmacy,3.5990096688103628
0,O1_Conjunto,19.287,-99.655,Tienda de Insumos para la Salud Thannax,19.3184374,-99.6366521,pharma,amenity,pharmacy,3.9909073785631213
0,O1_Conjunto,19.287,-99.655,Farmamigo,19.2562747,-99.6764814,pharma,amenity,pharmacy,4.093466102013443
0,O1_Conjunto,19.287,-99.655,Farmacia Angeles,19.2707832,-99.690175,pharma,amenity,pharmacy,4.108783023170778
0,O1_Conjunto,19.287,-99.655,Farmacia Pro + Salud,19.2718946,-99.6916258,pharma,amenity,pharmacy,4.19513391725797
0,O1_Conjunto,19.287,-99.655,Farmacia Guadalupana,19.2688784,-99.6909403,pharma,amenity,pharmacy,4.2767455289024445
0,O1_Conjunto,19.287,-99.655,Farmacias Similares,19.2988257,-99.6941589,pharma,amenity,pharmacy,4.314985793059881
0,O1_Conjunto,19.287,-99.655,Cemot,19.2678362,-99.6915179,pharma,amenity,pharmacy,4.3854502644467095
0,O1_Conjunto,19.287,-99.655,Farmacias Similares,19.2682655,-99.6922142,pharma,amenity,pharmacy,4.426800459628711
0,O1_Conjunto,19.287,-99.655,Farmacia Guadalajara,19.2888518,-99.6973794,pharma,amenity,pharmacy,4.452635120861263
0,O1_Conjunto,19.287,-99.655,Farmacia Veterinaria Amatepec Sa,19.2826109,-99.6122168,pharma,amenity,pharmacy,4.516781755258161
0,O1_Conjunto,19.287,-99.655,Farmacia Similares,19.3049768,-99.6160107,pharma,amenity,pharmacy,4.554019012182328
0,O1_Conjunto,19.287,-99.655,Farmacia Hospital Regional,19.3217264,-99.6291102,pharma,amenity,pharmacy,4.72146714132005
0,O1_Conjunto,19.287,-99.655,Labcare Diagnostika,19.295126,-99.6101315,pharma,amenity,pharmacy,4.794926459095993
0,O1_Conjunto,19.287,-99.655,Roche,19.3317443,-99.6631363,pharma,amenity,pharmacy,5.048070131470797
0,O1_Conjunto,19.287,-99.655,Benavides,19.2754047,-99.6060699,pharma,amenity,pharmacy,5.294978873101101
0,O1_Conjunto,19.287,-99.655,Especializadas,19.257549,-99.6148747,pharma,amenity,pharmacy,5.335046906585493
0,O1_Conjunto,19.287,-99.655,Farmacia Guadalajara,19.2571422,-99.6956054,pharma,amenity,pharmacy,5.402601422610579
